country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Japan,Nakano,38,good,1,good,38,good,1,good,24,good
United Republic of Tanzania,Namanyere,27,good,1,good,16,good,0,good,27,good
India,Nambiyur,58,moderate,1,good,30,good,0,good,58,moderate
China,Nantai,80,moderate,4,good,35,good,9,good,80,moderate
France,Nanterre,50,good,1,good,20,good,5,good,50,good
Spain,Torrelavega,33,good,0,good,33,good,0,good,21,good
Italy,Torri Di Quartesolo,28,good,1,good,28,good,3,good,26,good
Guinea,Tougue,29,good,1,good,15,good,0,good,29,good
Bulgaria,Trojan,55,moderate,1,good,40,good,0,good,55,moderate
Japan,Tsubata,40,good,1,good,40,good,0,good,23,good
Tunisia,Tunis,45,good,1,good,43,good,2,good,45,good
United States of America,Tustin,78,moderate,3,good,14,good,21,good,78,moderate
Russian Federation,Tyulgan,41,good,1,good,34,good,0,good,41,good
Brazil,Ubaitaba,38,good,1,good,7,good,2,good,38,good
Brazil,Ubajara,44,good,1,good,6,good,2,good,44,good
Brazil,Ubata,39,good,1,good,5,good,2,good,39,good
Spain,Ubrique,34,good,1,good,34,good,3,good,23,good
Czechia,Uherske Hradiste,43,good,1,good,30,good,1,good,43,good
India,Thiruvarur,70,moderate,1,good,40,good,0,good,70,moderate
Switzerland,Thonex,31,good,1,good,30,good,0,good,31,good
China,Tienchung,151,unhealthy,3,good,135,unhealthy for sensitive groups,14,good,151,unhealthy
Georgia,Tkibuli,38,good,1,good,38,good,0,good,37,good
Poland,Tomaszow Lubelski,53,moderate,1,good,33,good,0,good,53,moderate
Romania,Tomesti,67,moderate,1,good,46,good,0,good,67,moderate
Japan,Tomisato,41,good,1,good,41,good,1,good,34,good
South Africa,Temba,161,unhealthy,15,good,20,good,7,good,161,unhealthy
Czechia,Teplice,30,good,1,good,30,good,2,good,28,good
Brazil,Teresina,27,good,0,good,12,good,1,good,27,good
United States of America,Terryville,73,moderate,2,good,41,good,9,good,73,moderate
Brazil,Teutonia,40,good,1,good,12,good,3,good,40,good
Kenya,Thika,92,moderate,2,good,18,good,1,good,92,moderate
Portugal,Vila Real,36,good,1,good,23,good,2,good,36,good
Estonia,Viljandi,45,good,1,good,31,good,0,good,45,good
Ukraine,Vinnytsya,60,moderate,1,good,44,good,1,good,60,moderate
India,Virapandi,45,good,0,good,22,good,0,good,45,good
France,Vitry Sur Seine,51,moderate,1,good,21,good,5,good,51,moderate
Albania,Vlore,55,moderate,1,good,46,good,0,good,55,moderate
Czechia,Vrchlabi,30,good,0,good,28,good,1,good,30,good
India,Vuyyuru,142,unhealthy for sensitive groups,1,good,42,good,0,good,142,unhealthy for sensitive groups
Czechia,Vysoke Myto,31,good,1,good,29,good,1,good,31,good
United States of America,Waukesha,53,moderate,2,good,13,good,14,good,53,moderate
United States of America,Waxahachie,52,moderate,1,good,22,good,4,good,52,moderate
Thailand,Suphan Buri,45,good,0,good,20,good,0,good,45,good
Slovakia,Surany,50,good,1,good,30,good,1,good,50,good
Iran (Islamic Republic of),Susangerd,150,unhealthy,1,good,79,moderate,0,good,150,unhealthy
Pakistan,Swabi,197,unhealthy,3,good,197,unhealthy,1,good,130,unhealthy for sensitive groups
Poland,Swidnica,33,good,0,good,28,good,1,good,33,good
Canada,Sydney Mines,17,good,1,good,17,good,10,good,17,good
Japan,Tagajo,40,good,1,good,40,good,0,good,15,good
Brazil,Taiobeiras,19,good,0,good,7,good,1,good,19,good
Indonesia,Taman,124,unhealthy for sensitive groups,1,good,39,good,1,good,124,unhealthy for sensitive groups
Japan,Tarui,46,good,1,good,44,good,3,good,46,good
Kazakhstan,Tasbuget,61,moderate,1,good,37,good,0,good,61,moderate
Viet Nam,Hoi An,82,moderate,2,good,32,good,1,good,82,moderate
Romania,Holboca,71,moderate,1,good,42,good,1,good,71,moderate
United States of America,Hooksett,44,good,1,good,44,good,1,good,25,good
France,Houilles,50,good,1,good,19,good,4,good,50,good
China,Huaihua,121,unhealthy for sensitive groups,2,good,121,unhealthy for sensitive groups,1,good,68,moderate
China,Huaiyuan,184,unhealthy,4,good,184,unhealthy,4,good,142,unhealthy for sensitive groups
Mexico,Huajuapan,69,moderate,3,good,2,good,7,good,69,moderate
Mexico,Huejotzingo,156,unhealthy,2,good,4,good,12,good,156,unhealthy
India,Ichchapuram,155,unhealthy,2,good,80,moderate,1,good,155,unhealthy
Japan,Ichinohe,35,good,1,good,35,good,1,good,21,good
Bulgaria,Ihtiman,77,moderate,1,good,42,good,2,good,77,moderate
Switzerland,Fribourg,31,good,0,good,31,good,0,good,28,good
Mexico,Frontera Comalapa,83,moderate,3,good,6,good,7,good,83,moderate
Brazil,Frutal,41,good,1,good,5,good,1,good,41,good
Germany,Furstenwalde,36,good,1,good,36,good,1,good,26,good
France,Gaillac,38,good,1,good,31,good,1,good,38,good
United States of America,Gallup,57,moderate,0,good,27,good,1,good,57,moderate
Israel,Ganne Tiqwa,94,moderate,2,good,49,good,6,good,94,moderate
China,Gaogou,202,very unhealthy,5,good,202,very unhealthy,3,good,156,unhealthy
Kenya,Garissa,43,good,1,good,23,good,0,good,43,good
Russian Federation,Giaginskaya,52,moderate,1,good,52,moderate,1,good,21,good
India,Giddarbaha,500,hazardous,1,good,45,good,0,good,416,hazardous
Indonesia,Ende,23,good,1,good,23,good,0,good,16,good
United States of America,Endwell,40,good,1,good,40,good,1,good,34,good
France,Enghien Les Bains,55,moderate,1,good,18,good,6,good,55,moderate
Turkey,Eregli,57,moderate,0,good,41,good,0,good,57,moderate
Romania,Fagaras,59,moderate,1,good,41,good,1,good,59,moderate
Brazil,Farias Brito,24,good,0,good,12,good,1,good,24,good
India,Faridnagar,500,hazardous,1,good,45,good,2,good,496,hazardous
United States of America,Federal Heights,83,moderate,3,good,2,good,17,good,83,moderate
Austria,Feldkirchen,28,good,0,good,28,good,0,good,9,good
Germany,Finnentrop,35,good,1,good,35,good,1,good,26,good
Germany,Finsterwalde,34,good,1,good,34,good,1,good,28,good
France,Fleury Les Aubrais,38,good,1,good,23,good,2,good,38,good
Germany,Floha,32,good,0,good,32,good,1,good,26,good
Brazil,Floresta,23,good,0,good,13,good,0,good,23,good
Italy,Foligno,40,good,1,good,40,good,1,good,28,good
United States of America,Fort Dodge,35,good,1,good,35,good,4,good,34,good
Russian Federation,Glazov,28,good,1,good,28,good,0,good,12,good
United States of America,Glendale Heights,81,moderate,3,good,6,good,29,good,81,moderate
United States of America,Glenvar Heights,91,moderate,2,good,8,good,15,good,91,moderate
Germany,Gluckstadt,32,good,1,good,32,good,2,good,26,good
Austria,Gotzis,29,good,0,good,29,good,1,good,28,good
Niger,Goure,79,moderate,2,good,39,good,1,good,79,moderate
Germany,Grenzach Wyhlen,35,good,1,good,29,good,1,good,35,good
Italy,Grosseto,44,good,1,good,44,good,1,good,33,good
Poland,Gryfice,35,good,0,good,35,good,0,good,23,good
Argentina,Gualeguay,15,good,0,good,15,good,1,good,14,good
France,Guerande,33,good,0,good,33,good,0,good,21,good
United States of America,Indianola,54,moderate,1,good,21,good,5,good,54,moderate
India,Irugur,58,moderate,1,good,26,good,0,good,58,moderate
United Republic of Tanzania,Isaka,36,good,0,good,15,good,0,good,36,good
Japan,Ishinomaki,39,good,1,good,39,good,0,good,13,good
Brazil,Itajobi,54,moderate,1,good,6,good,1,good,54,moderate
India,Itarsi,152,unhealthy,1,good,38,good,0,good,152,unhealthy
Brazil,Itau De Minas,54,moderate,1,good,2,good,3,good,54,moderate
Brazil,Iuna,36,good,1,good,7,good,2,good,36,good
Japan,Iwamizawa,32,good,1,good,32,good,0,good,15,good
Mexico,Izamal,40,good,1,good,22,good,0,good,40,good
Guatemala,Jacaltenango,66,moderate,2,good,11,good,5,good,66,moderate
Brazil,Jaciara,55,moderate,1,good,7,good,0,good,55,moderate
India,Jais,353,hazardous,1,good,48,good,1,good,282,very unhealthy
India,Jalna,143,unhealthy for sensitive groups,1,good,38,good,0,good,143,unhealthy for sensitive groups
Uzbekistan,Kibray,102,unhealthy for sensitive groups,1,good,35,good,13,good,102,unhealthy for sensitive groups
Papua New Guinea,Kimbe,21,good,0,good,21,good,0,good,13,good
United Kingdom of Great Britain and Northern Ireland,Kirkby In Ashfield,41,good,1,good,33,good,1,good,41,good
Russian Federation,Kodinsk,56,moderate,1,good,23,good,1,good,56,moderate
India,Kohima,68,moderate,2,good,7,good,4,good,68,moderate
India,Kollegal,92,moderate,2,good,10,good,7,good,92,moderate
India,Koppal,43,good,1,good,20,good,3,good,43,good
Russian Federation,Kotovo,45,good,1,good,45,good,0,good,19,good
Turkey,Kozluk,62,moderate,1,good,43,good,1,good,62,moderate
Poland,Krasnik,54,moderate,1,good,47,good,0,good,54,moderate
Russian Federation,Krasnoyarsk,35,good,1,good,27,good,3,good,35,good
Serbia,Krusevac,54,moderate,1,good,49,good,0,good,54,moderate
Russian Federation,Krylovskaya,44,good,1,good,44,good,0,good,20,good
Russian Federation,Kstovo,36,good,1,good,36,good,3,good,30,good
Sweden,Kumla,41,good,1,good,41,good,0,good,12,good
Russian Federation,Kupino,27,good,1,good,27,good,0,good,26,good
Czechia,Kutna Hora,67,moderate,1,good,46,good,0,good,67,moderate
United States of America,La Mirada,105,unhealthy for sensitive groups,3,good,19,good,24,good,105,unhealthy for sensitive groups
Peru,La Peca,11,good,1,good,6,good,0,good,11,good
United States of America,Lake Oswego,74,moderate,2,good,24,good,7,good,74,moderate
Pakistan,Lakki Marwat,181,unhealthy,3,good,104,unhealthy for sensitive groups,2,good,181,unhealthy
Philippines,Lalig,90,moderate,2,good,25,good,9,good,90,moderate
Poland,Lapy,38,good,1,good,38,good,0,good,19,good
United Kingdom of Great Britain and Northern Ireland,Largs,35,good,1,good,34,good,1,good,35,good
Norway,Larvik,49,good,1,good,49,good,0,good,17,good
Spain,Las Rozas De Madrid,42,good,0,good,42,good,0,good,10,good
United States of America,Lawrenceville,46,good,1,good,46,good,4,good,37,good
France,Le Chesnay,70,moderate,1,good,43,good,2,good,70,moderate
France,Le Plessis Trevise,70,moderate,1,good,45,good,1,good,70,moderate
Italy,Lecco,94,moderate,1,good,47,good,0,good,94,moderate
Germany,Lengede,43,good,1,good,43,good,0,good,36,good
Russian Federation,Lesnoy,41,good,1,good,41,good,0,good,39,good
Finland,Lieto,36,good,1,good,36,good,0,good,4,good
France,Lillebonne,50,good,1,good,41,good,0,good,50,good
China,Linchuan,159,unhealthy,6,good,7,good,22,good,159,unhealthy
Philippines,Lipa,93,moderate,2,good,25,good,10,good,93,moderate
United Kingdom of Great Britain and Northern Ireland,Littlehampton,32,good,1,good,32,good,1,good,32,good
Russian Federation,Livadiya,83,moderate,2,good,48,good,2,good,83,moderate
Brazil,Livramento,22,good,0,good,22,good,0,good,18,good
Chile,Llaillay,207,very unhealthy,18,good,2,good,28,good,207,very unhealthy
Israel,Lod,85,moderate,1,good,53,moderate,4,good,85,moderate
Nigeria,Lokoja,59,moderate,1,good,34,good,0,good,59,moderate
Benin,Lokossa,47,good,1,good,28,good,0,good,47,good
India,Lonar,154,unhealthy,1,good,26,good,3,good,154,unhealthy
Chile,Los Andes,167,unhealthy,9,good,7,good,14,good,167,unhealthy
United States of America,Loves Park,39,good,1,good,39,good,1,good,38,good
United States of America,Lower Burrell,51,moderate,1,good,36,good,3,good,51,moderate
Uganda,Lugazi,105,unhealthy for sensitive groups,3,good,18,good,1,good,105,unhealthy for sensitive groups
Poland,Lukow,41,good,1,good,41,good,0,good,28,good
India,Lunglei,45,good,1,good,10,good,1,good,45,good
United States of America,Lynn,44,good,1,good,39,good,1,good,44,good
Ecuador,Macas,7,good,1,good,7,good,0,good,7,good
Kenya,Machakos,71,moderate,1,good,17,good,1,good,71,moderate
India,Baheri,162,unhealthy,3,good,162,unhealthy,1,good,160,unhealthy
India,Bahua,196,unhealthy,2,good,126,unhealthy for sensitive groups,1,good,196,unhealthy
Romania,Bailesti,40,good,1,good,38,good,1,good,40,good
Indonesia,Banda Aceh,17,good,0,good,17,good,0,good,17,good
Somalia,Bandarbeyla,138,unhealthy for sensitive groups,0,good,18,good,0,good,138,unhealthy for sensitive groups
United Kingdom of Great Britain and Northern Ireland,Bangor,24,good,1,good,24,good,4,good,20,good
India,Baranagar,171,unhealthy,5,good,101,unhealthy for sensitive groups,6,good,171,unhealthy
Brazil,Barauna,23,good,0,good,19,good,0,good,23,good
Portugal,Barcelos,32,good,1,good,32,good,2,good,22,good
India,Baruni,168,unhealthy,5,good,168,unhealthy,1,good,153,unhealthy
India,Basi,235,very unhealthy,1,good,49,good,0,good,235,very unhealthy
United States of America,Bastrop,61,moderate,1,good,22,good,3,good,61,moderate
United States of America,Bay Point,36,good,1,good,30,good,9,good,36,good
France,Bayeux,37,good,1,good,33,good,2,good,37,good
United States of America,Arvin,41,good,1,good,33,good,6,good,41,good
United States of America,Athol,49,good,1,good,18,good,7,good,49,good
Mexico,Atlazalpan,185,unhealthy,4,good,2,good,21,good,185,unhealthy
Ecuador,Atuntaqui,46,good,1,good,6,good,2,good,46,good
India,Avanashi,43,good,0,good,25,good,0,good,43,good
Kazakhstan,Ayagoz,50,good,1,good,33,good,0,good,50,good
Dominican Republic,Azua,62,moderate,1,good,11,good,7,good,62,moderate
Germany,Bad Bentheim,32,good,0,good,32,good,1,good,17,good
Germany,Bad Laasphe,56,moderate,1,good,34,good,2,good,56,moderate
Germany,Bad Wildbad,46,good,1,good,33,good,4,good,46,good
India,Bahadurganj,57,moderate,2,good,57,moderate,0,good,54,moderate
Brazil,Amaraji,30,good,0,good,17,good,2,good,30,good
Madagascar,Ambalavao,41,good,1,good,20,good,0,good,41,good
Madagascar,Ambilobe,23,good,0,good,23,good,0,good,18,good
United States of America,American Canyon,33,good,1,good,33,good,5,good,29,good
Netherlands,Amersfoort,30,good,1,good,30,good,2,good,17,good
India,Amet,193,unhealthy,1,good,35,good,0,good,193,unhealthy
India,Amroli,152,unhealthy,0,good,25,good,0,good,152,unhealthy
India,Andippatti,45,good,1,good,26,good,0,good,45,good
India,Anjad,163,unhealthy,1,good,33,good,0,good,163,unhealthy
Philippines,Antipolo,61,moderate,1,good,23,good,2,good,61,moderate
India,Anupshahr,177,unhealthy,4,good,173,unhealthy,1,good,177,unhealthy
Brazil,Apodi,25,good,0,good,16,good,0,good,25,good
Brazil,Araguaina,41,good,1,good,12,good,0,good,41,good
Brazil,Arapiraca,32,good,0,good,12,good,2,good,32,good
Belgium,Arendonk,32,good,1,good,30,good,3,good,32,good
Ecuador,Arenillas,34,good,1,good,17,good,1,good,34,good
Italy,Arezzo,61,moderate,1,good,39,good,3,good,61,moderate
Greece,Ayia Varvara,46,good,1,good,46,good,0,good,46,good
India,Iluppur,72,moderate,1,good,35,good,0,good,72,moderate
Italy,Isernia,52,moderate,1,good,48,good,2,good,52,moderate
Russian Federation,Isilkul,50,good,1,good,31,good,0,good,50,good
Brazil,Itapora,23,good,1,good,10,good,0,good,23,good
Brazil,Itubera,15,good,0,good,15,good,0,good,14,good
Brazil,Ituporanga,118,unhealthy for sensitive groups,5,good,10,good,2,good,118,unhealthy for sensitive groups
Brazil,Ivaipora,51,moderate,1,good,11,good,1,good,51,moderate
Russian Federation,Ivanovo,33,good,1,good,33,good,0,good,25,good
India,Jagdalpur,65,moderate,1,good,25,good,1,good,65,moderate
India,Jaisalmer,355,hazardous,1,good,44,good,0,good,274,very unhealthy
Brazil,Jardinopolis,54,moderate,1,good,11,good,2,good,54,moderate
India,Jaynagar,100,unhealthy for sensitive groups,3,good,100,unhealthy for sensitive groups,0,good,75,moderate
Brazil,Jeremoabo,15,good,0,good,15,good,0,good,13,good
China,Jiangyou,119,unhealthy for sensitive groups,3,good,69,moderate,5,good,119,unhealthy for sensitive groups
China,Jiazi,184,unhealthy,3,good,184,unhealthy,2,good,87,moderate
China,Jieshou,192,unhealthy,4,good,192,unhealthy,4,good,125,unhealthy for sensitive groups
India,Kakinada,105,unhealthy for sensitive groups,2,good,24,good,3,good,105,unhealthy for sensitive groups
Russian Federation,Kalach Na Donu,50,good,1,good,40,good,0,good,50,good
India,Kalka,125,unhealthy for sensitive groups,2,good,125,unhealthy for sensitive groups,1,good,123,unhealthy for sensitive groups
United States of America,Fort Wayne,35,good,1,good,31,good,4,good,35,good
France,Fos Sur Mer,146,unhealthy for sensitive groups,1,good,23,good,14,good,146,unhealthy for sensitive groups
Brazil,Francisco Sa,17,good,0,good,16,good,0,good,17,good
United States of America,Friendswood,110,unhealthy for sensitive groups,1,good,20,good,4,good,110,unhealthy for sensitive groups
Germany,Friesenheim,56,moderate,1,good,35,good,3,good,56,moderate
Germany,Fritzlar,53,moderate,1,good,38,good,1,good,53,moderate
Japan,Fukuchiyama,46,good,1,good,46,good,0,good,36,good
Democratic Republic of the Congo,Gandajika,277,very unhealthy,14,good,47,good,9,good,277,very unhealthy
India,Gandhinagar,167,unhealthy,1,good,33,good,1,good,167,unhealthy
India,Gangawati,65,moderate,0,good,24,good,0,good,65,moderate
India,Gangoh,166,unhealthy,3,good,166,unhealthy,1,good,152,unhealthy
China,Ganzhou,128,unhealthy for sensitive groups,3,good,128,unhealthy for sensitive groups,1,good,77,moderate
United States of America,Gardendale,75,moderate,1,good,32,good,7,good,75,moderate
Netherlands,Geldrop,31,good,1,good,31,good,2,good,31,good
Turkey,Gemlik,39,good,1,good,33,good,0,good,39,good
Pakistan,Ghotki,194,unhealthy,1,good,59,moderate,1,good,194,unhealthy
India,Ghugus,165,unhealthy,1,good,28,good,3,good,165,unhealthy
United States of America,Gillette,51,moderate,1,good,36,good,0,good,51,moderate
Italy,Gioia Tauro,47,good,1,good,43,good,1,good,47,good
India,Gunupur,65,moderate,1,good,36,good,1,good,65,moderate
Nigeria,Gusau,53,moderate,2,good,26,good,0,good,53,moderate
Mexico,Gutierrez Zamora,108,unhealthy for sensitive groups,2,good,19,good,4,good,108,unhealthy for sensitive groups
China,Guye,157,unhealthy,3,good,157,unhealthy,3,good,125,unhealthy for sensitive groups
Germany,Haar,56,moderate,1,good,36,good,4,good,56,moderate
Denmark,Haderslev,33,good,0,good,33,good,0,good,19,good
Pakistan,Hangu,159,unhealthy,2,good,64,moderate,0,good,159,unhealthy
Belarus,Haradok,33,good,1,good,33,good,0,good,11,good
Zimbabwe,Harare,61,moderate,3,good,14,good,2,good,61,moderate
Bulgaria,Haskovo,50,good,1,good,44,good,0,good,50,good
Netherlands,Heerlen,51,moderate,1,good,35,good,2,good,51,moderate
Denmark,Helsingor,37,good,0,good,37,good,0,good,17,good
Germany,Hemmingen,35,good,0,good,35,good,1,good,25,good
Germany,Herne,38,good,1,good,33,good,2,good,38,good
Poland,Glucholazy,72,moderate,1,good,41,good,1,good,72,moderate
Austria,Gmunden,58,moderate,1,good,37,good,2,good,58,moderate
South Sudan,Gogrial,72,moderate,2,good,8,good,0,good,72,moderate
India,Gopichettipalaiyam,38,good,0,good,26,good,1,good,38,good
Armenia,Goris,33,good,1,good,33,good,0,good,26,good
Russian Federation,Gornyak,36,good,1,good,36,good,0,good,30,good
Spain,Grado,35,good,1,good,35,good,4,good,28,good
Colombia,Granada,61,moderate,2,good,5,good,4,good,61,moderate
Italy,Gravina In Puglia,55,moderate,1,good,44,good,2,good,55,moderate
United States of America,Greer,64,moderate,2,good,37,good,7,good,64,moderate
Belgium,Grimbergen,43,good,1,good,31,good,3,good,43,good
Brazil,Guiratinga,25,good,1,good,6,good,1,good,25,good
United States of America,Gulfport,72,moderate,1,good,31,good,2,good,72,moderate
Dominican Republic,Higuey,55,moderate,1,good,22,good,1,good,55,moderate
United States of America,Hilliard,47,good,1,good,47,good,3,good,19,good
Ukraine,Hlukhiv,34,good,1,good,34,good,0,good,10,good
Ghana,Hohoe,49,good,1,good,19,good,0,good,49,good
India,Holalkere,50,good,0,good,21,good,0,good,50,good
United States of America,Hopewell,53,moderate,1,good,35,good,5,good,53,moderate
United States of America,Huntley,49,good,1,good,32,good,7,good,49,good
Brazil,Ibipora,55,moderate,1,good,11,good,2,good,55,moderate
Brazil,Igarape Acu,44,good,1,good,13,good,1,good,44,good
Brazil,Iguai,15,good,0,good,13,good,0,good,15,good
Brazil,Sarzedo,95,moderate,3,good,2,good,9,good,95,moderate
Côte d'Ivoire,Sassandra,28,good,1,good,25,good,0,good,28,good
India,Saundatti Yellamma,60,moderate,0,good,23,good,0,good,60,moderate
Mexico,Sayula,89,moderate,2,good,17,good,4,good,89,moderate
Japan,Sekiyado,36,good,1,good,36,good,3,good,20,good
Georgia,Senaki,33,good,1,good,33,good,0,good,26,good
Russian Federation,Severomorsk,27,good,1,good,27,good,0,good,19,good
China,Shache,244,very unhealthy,1,good,41,good,0,good,244,very unhealthy
India,Shahi,167,unhealthy,4,good,167,unhealthy,1,good,164,unhealthy
India,Sherghati,151,unhealthy,3,good,133,unhealthy for sensitive groups,0,good,151,unhealthy
Cuba,Sibanicu,45,good,1,good,20,good,1,good,45,good
Poland,Siemiatycze,68,moderate,1,good,33,good,1,good,68,moderate
Finland,Sipoo,52,moderate,1,good,27,good,12,good,52,moderate
India,Sirohi,193,unhealthy,1,good,33,good,0,good,193,unhealthy
Republic of North Macedonia,Skopje,56,moderate,1,good,39,good,1,good,56,moderate
Russian Federation,Slavgorod,35,good,1,good,35,good,0,good,34,good
Russian Federation,Sochi,45,good,1,good,45,good,0,good,23,good
Bulgaria,Sofia,50,good,1,good,35,good,2,good,50,good
Spain,San Bartolome De Tirajana,43,good,0,good,43,good,0,good,12,good
United States of America,San Carlos Park,53,moderate,1,good,15,good,9,good,53,moderate
Italy,San Giovanni Valdarno,74,moderate,1,good,45,good,1,good,74,moderate
Mexico,San Jose Del Castillo,67,moderate,1,good,17,good,5,good,67,moderate
Spain,San Roque,39,good,1,good,30,good,3,good,39,good
Austria,Sankt Johann Im Pongau,50,good,1,good,31,good,1,good,50,good
Germany,Sankt Leon Rot,50,good,1,good,43,good,2,good,50,good
Japan,Sano,32,good,1,good,32,good,2,good,15,good
Brazil,Santa Cruz Cabralia,18,good,0,good,18,good,0,good,16,good
Paraguay,Santa Rita,22,good,1,good,12,good,0,good,22,good
Brazil,Sao Benedito Do Rio Preto,46,good,1,good,10,good,0,good,46,good
Philippines,Sapang,98,moderate,1,good,22,good,2,good,98,moderate
India,Sarai Mir,154,unhealthy,3,good,154,unhealthy,1,good,150,unhealthy
Kazakhstan,Sarkand,49,good,1,good,40,good,0,good,49,good
Kazakhstan,Saryozek,74,moderate,1,good,39,good,0,good,74,moderate
Romania,Sebes,58,moderate,1,good,35,good,1,good,58,moderate
United States of America,Sedro Woolley,38,good,1,good,24,good,7,good,38,good
Romania,Seini,64,moderate,1,good,37,good,0,good,64,moderate
India,Seondha,222,very unhealthy,1,good,62,moderate,0,good,222,very unhealthy
Brazil,Sertaozinho,54,moderate,1,good,11,good,2,good,54,moderate
United States of America,Fort Worth,61,moderate,1,good,21,good,4,good,61,moderate
Serbia,Futog,74,moderate,1,good,40,good,2,good,74,moderate
Romania,Gaesti,49,good,1,good,42,good,1,good,49,good
India,Gangtok,31,good,1,good,28,good,0,good,31,good
United States of America,Gatesville,33,good,1,good,21,good,1,good,33,good
Turkey,Gaziantep,53,moderate,1,good,37,good,0,good,53,moderate
India,Ghaziabad,227,very unhealthy,4,good,151,unhealthy,4,good,227,very unhealthy
Spain,Gibraleon,34,good,1,good,34,good,1,good,21,good
China,Guozhen,118,unhealthy for sensitive groups,2,good,118,unhealthy for sensitive groups,1,good,71,moderate
Brazil,Gurupi,35,good,1,good,10,good,0,good,35,good
Germany,Halle,42,good,1,good,30,good,2,good,42,good
Belgium,Hannut,48,good,1,good,24,good,4,good,48,good
Pakistan,Harnai,134,unhealthy for sensitive groups,1,good,44,good,0,good,134,unhealthy for sensitive groups
Czechia,Havirov,80,moderate,1,good,34,good,5,good,80,moderate
China,Hede,203,very unhealthy,5,good,203,very unhealthy,4,good,152,unhealthy
France,Herblay,61,moderate,1,good,20,good,6,good,61,moderate
Germany,Hersbruck,43,good,1,good,35,good,2,good,43,good
Belgium,Gistel,38,good,1,good,33,good,2,good,38,good
United States of America,Glen Burnie,35,good,1,good,31,good,7,good,35,good
United States of America,Godfrey,77,moderate,2,good,20,good,15,good,77,moderate
Belarus,Gomel,65,moderate,1,good,36,good,1,good,65,moderate
Italy,Grammichele,58,moderate,2,good,37,good,3,good,58,moderate
United States of America,Gresham,52,moderate,1,good,16,good,11,good,52,moderate
Germany,Grunwald,66,moderate,1,good,37,good,1,good,66,moderate
Cuba,Guane,46,good,1,good,29,good,0,good,46,good
Costa Rica,Guapiles,82,moderate,3,good,2,good,12,good,82,moderate
Japan,Omuta,49,good,1,good,49,good,1,good,41,good
Poland,Opoczno,73,moderate,1,good,31,good,2,good,73,moderate
Mexico,Orizaba,79,moderate,2,good,16,good,8,good,79,moderate
Pakistan,Ormara,165,unhealthy,1,good,32,good,0,good,165,unhealthy
France,Orthez,43,good,1,good,43,good,1,good,34,good
Japan,Osakasayama,43,good,1,good,43,good,1,good,18,good
Turkey,Osmaniye,46,good,1,good,39,good,0,good,46,good
Ecuador,Otavalo,57,moderate,1,good,2,good,4,good,57,moderate
Russian Federation,Otradnoye,73,moderate,1,good,40,good,5,good,73,moderate
South Africa,Oudtshoorn,66,moderate,2,good,6,good,3,good,66,moderate
Belgium,Overijse,46,good,1,good,26,good,4,good,46,good
United States of America,Owosso,42,good,1,good,33,good,5,good,42,good
New Zealand,Palmerston North,51,moderate,0,good,26,good,0,good,51,moderate
Philippines,Papaya,82,moderate,1,good,27,good,1,good,82,moderate
Brazil,Paraguacu Paulista,31,good,1,good,13,good,1,good,31,good
India,Partapur,155,unhealthy,1,good,41,good,0,good,155,unhealthy
Uruguay,Paso De Los Toros,14,good,0,good,14,good,0,good,9,good
Belarus,Pastavy,35,good,0,good,35,good,0,good,32,good
United States of America,Peachtree City,71,moderate,2,good,19,good,13,good,71,moderate
Chile,Penco,82,moderate,2,good,14,good,7,good,82,moderate
United States of America,Pepperell,30,good,1,good,30,good,3,good,22,good
Mexico,Petatlan,39,good,1,good,12,good,2,good,39,good
Canada,Petawawa,29,good,1,good,23,good,1,good,29,good
Brazil,Pianco,23,good,0,good,15,good,0,good,23,good
Brazil,Pimenta Bueno,41,good,1,good,1,good,1,good,41,good
Finland,Pirkkala,29,good,0,good,29,good,1,good,5,good
United States of America,Pittsfield,31,good,1,good,31,good,4,good,31,good
Indonesia,Plumbon,54,moderate,1,good,39,good,0,good,54,moderate
France,Poissy,62,moderate,1,good,19,good,6,good,62,moderate
Italy,Ponte San Nicolo,98,moderate,2,good,34,good,5,good,98,moderate
Italy,Pontecorvo,41,good,1,good,41,good,1,good,31,good
United Kingdom of Great Britain and Northern Ireland,Pontypool,51,moderate,1,good,21,good,4,good,51,moderate
Italy,Portici,50,good,2,good,36,good,10,good,50,good
Nigeria,Potiskum,85,moderate,3,good,20,good,1,good,85,moderate
Bolivia (Plurinational State of),Potosi,14,good,0,good,14,good,0,good,9,good
Brazil,Prata,32,good,0,good,14,good,0,good,32,good
Slovenia,Ptuj,75,moderate,1,good,44,good,2,good,75,moderate
Colombia,Puerto Berrio,38,good,2,good,15,good,1,good,38,good
India,Pukhrayan,234,very unhealthy,1,good,70,moderate,1,good,234,very unhealthy
India,Pune,98,moderate,0,good,24,good,0,good,98,moderate
Costa Rica,Purral,78,moderate,2,good,4,good,13,good,78,moderate
Kazakhstan,Qostanay,46,good,1,good,37,good,0,good,46,good
Germany,Quickborn,33,good,0,good,33,good,1,good,31,good
Germany,Quierschied,52,moderate,1,good,29,good,3,good,52,moderate
China,Qujing,46,good,1,good,23,good,2,good,46,good
